Subdivision,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan_Feb,Mar_May,Jun_Sep,Oct_Dec,Cloud_Visibility_Pct,Elevation_m,Max_Temp_C,Flood
Assam & Meghalaya,2019,9.6,9.0,41.5,52.8,106.2,749.7,863.7,593.5,369.8,347.6,141.9,36.0,3321.4,18.6,200.5,2576.7,525.5,12.0,15.0,31.5,1
Odisha,2019,4.5,10.5,34.6,42.4,163.2,558.3,395.9,439.5,394.2,141.6,40.0,4.4,2229.1,15.0,240.2,1787.9,186.0,44.2,30.0,33.7,1
Gangetic West Bengal,1995,0.0,23.1,23.1,59.6,193.8,305.4,751.5,183.9,325.5,177.7,82.8,23.2,2149.7,23.1,276.5,1566.3,283.7,39.6,30.0,33.6,1
Bihar,2009,6.0,19.1,56.1,82.9,185.6,490.4,563.8,357.1,169.6,127.4,51.7,14.6,2124.4,25.1,324.6,1580.9,193.8,44.6,30.0,35.9,1
Gangetic West Bengal,1995,1.7,5.9,17.1,88.2,228.4,244.7,385.9,391.9,139.8,170.2,89.5,16.5,1779.9,7.7,333.8,1162.3,276.2,58.8,250.0,36.2,1
Coastal Karnataka,2005,29.7,17.9,43.4,96.8,309.1,662.3,1041.0,775.4,431.5,159.5,112.4,19.7,3698.6,47.6,449.3,2910.1,291.6,12.0,500.0,29.7,1
Gujarat Region,2012,17.5,26.1,30.5,65.3,159.2,187.4,651.2,46.2,244.2,125.4,86.4,16.7,1656.0,43.6,255.0,1129.0,228.4,53.7,80.0,35.5,1
Bihar,1980,20.5,21.6,48.2,79.9,162.4,526.2,271.4,485.5,271.5,83.5,159.1,15.7,2145.5,42.1,290.5,1554.6,258.3,50.1,80.0,30.5,1
Konkan & Goa,2021,16.6,32.1,58.7,87.3,245.5,512.7,952.4,801.0,276.3,268.4,71.2,39.2,3361.6,48.7,391.6,2542.4,378.9,12.0,80.0,32.0,1
Bihar,1986,21.9,13.5,27.4,72.2,248.4,428.0,615.1,591.9,249.4,196.9,70.3,3.0,2538.0,35.5,347.9,1884.4,270.2,23.6,30.0,28.6,1
East Uttar Pradesh,1996,11.3,4.8,12.7,74.4,161.8,95.0,493.6,339.6,391.5,153.9,74.8,10.6,1824.1,16.1,248.9,1319.8,239.3,50.9,15.0,34.7,1
Konkan & Goa,1998,20.4,18.1,65.1,111.7,260.6,588.1,762.6,505.9,305.9,225.8,129.5,28.6,3022.3,38.4,437.4,2162.5,384.0,18.9,80.0,30.7,1
Bihar,1984,15.8,23.2,40.8,79.0,146.2,266.4,463.5,111.1,206.6,158.8,72.1,23.4,1606.9,39.0,266.0,1047.7,254.3,55.4,80.0,32.7,1
Kerala,1981,16.7,32.2,30.6,55.6,195.7,640.2,581.7,709.8,227.6,229.5,84.5,27.9,2832.2,48.9,282.0,2159.4,341.9,15.3,850.0,35.9,1
East Uttar Pradesh,2019,13.3,1.4,33.1,42.2,191.1,119.3,431.5,448.7,112.9,119.7,87.5,23.0,1623.5,14.7,266.3,1112.4,230.1,55.4,30.0,27.3,1
Kerala,1980,14.2,22.2,25.6,104.3,256.4,484.4,1005.2,826.8,384.3,302.7,121.1,38.7,3586.0,36.4,386.3,2700.8,462.5,12.0,250.0,30.7,1
Odisha,2003,15.9,23.1,24.5,62.1,145.6,319.7,698.5,388.9,214.7,192.0,90.9,13.1,2189.0,39.0,232.2,1621.8,296.0,34.1,30.0,23.2,1
Sub-Himalayan West Bengal,2019,6.9,16.4,20.2,93.3,164.5,288.4,740.5,197.1,243.2,246.1,105.3,25.1,2146.9,23.3,277.9,1469.3,376.4,37.4,80.0,26.0,0
Konkan & Goa,2024,19.1,23.3,37.7,61.2,205.9,646.3,718.0,445.5,370.6,335.2,87.2,42.2,2992.1,42.4,304.8,2180.4,464.6,26.8,500.0,29.6,1
Rayalseema,2016,25.0,20.7,47.1,78.1,273.9,469.0,342.9,338.2,208.3,151.3,64.8,4.1,2023.5,45.8,399.1,1358.4,220.2,55.7,250.0,26.8,1
Assam & Meghalaya,1991,21.8,24.2,33.1,110.2,310.0,524.2,947.8,713.1,434.3,167.3,66.8,15.8,3368.5,46.1,453.2,2619.4,249.9,12.0,850.0,33.4,1
Rayalseema,2002,17.5,22.7,34.2,48.2,133.4,397.8,358.3,298.8,252.1,164.1,81.2,3.4,1811.8,40.3,215.8,1307.0,248.7,60.0,850.0,28.2,0
Bihar,1984,11.9,9.9,29.7,98.0,173.8,611.2,469.7,421.4,162.2,270.7,52.1,30.1,2340.6,21.7,301.5,1664.5,352.9,42.7,30.0,26.5,1
East Uttar Pradesh,2001,16.5,11.6,51.6,85.0,162.4,472.5,667.9,495.0,374.9,78.5,76.1,4.9,2497.0,28.1,299.0,2010.3,159.5,28.4,80.0,31.4,1
Coastal Karnataka,1988,20.7,20.4,32.2,107.9,325.8,371.7,748.1,527.1,407.3,380.8,118.8,35.1,3095.8,41.1,465.9,2054.1,534.7,24.8,80.0,33.8,1
Bihar,2013,13.9,19.4,31.9,103.8,128.4,253.0,429.7,254.9,193.0,248.5,18.9,34.5,1729.8,33.3,264.0,1130.6,301.9,63.8,15.0,32.6,1
Gujarat Region,2017,14.9,2.2,43.4,83.0,196.9,300.7,716.6,300.9,229.5,92.3,90.7,14.8,2085.8,17.1,323.3,1547.6,197.8,36.4,30.0,23.8,1
Coastal Karnataka,1985,14.3,18.9,28.3,122.5,230.3,580.1,599.9,538.5,485.5,242.6,121.0,39.2,3020.8,33.2,381.0,2203.9,402.7,21.0,30.0,29.2,1
Gujarat Region,1986,8.4,28.7,59.7,49.5,233.4,545.3,744.5,352.2,153.7,54.4,33.7,18.1,2281.5,37.1,342.5,1795.7,106.1,30.3,15.0,33.4,1
East Uttar Pradesh,2012,6.1,14.4,21.9,61.4,90.3,222.1,618.1,482.8,206.8,110.5,42.8,19.2,1896.5,20.5,173.6,1529.9,172.5,43.7,250.0,31.2,1
Konkan & Goa,1992,13.4,31.2,35.5,60.9,222.2,613.1,1035.5,606.8,455.2,240.6,86.8,17.2,3418.5,44.6,318.6,2710.6,344.6,12.0,30.0,31.6,1
Bihar,2020,0.0,18.4,41.9,71.0,212.7,488.7,498.6,364.6,300.4,254.3,35.7,21.6,2308.0,18.4,325.7,1652.3,311.6,41.2,15.0,29.8,1
Rayalseema,2017,4.7,14.3,31.4,65.7,167.3,250.2,357.6,472.2,357.6,140.6,106.5,13.5,1981.8,19.0,264.4,1437.7,260.7,52.1,500.0,27.5,0
Rayalseema,1984,7.0,14.7,0.0,89.8,199.5,298.9,560.0,308.3,336.8,112.8,62.3,17.6,2007.6,21.7,289.3,1504.0,192.6,29.9,850.0,29.9,0
Coastal Karnataka,2023,12.7,10.9,37.5,57.7,294.3,836.1,878.5,575.5,337.8,166.1,66.1,24.5,3298.0,23.6,389.6,2628.0,256.8,13.8,500.0,34.8,0
Rayalseema,2022,22.9,0.1,38.9,107.4,213.1,452.0,230.3,531.4,190.7,151.8,24.6,4.5,1967.8,23.0,359.4,1404.5,180.9,61.2,500.0,32.1,0
Sub-Himalayan West Bengal,2012,21.1,20.7,21.6,0.0,99.0,261.7,833.9,309.4,314.4,49.5,57.4,27.2,2015.9,41.8,120.6,1719.4,134.1,28.4,15.0,36.4,1
Rayalseema,1992,13.2,14.3,51.8,20.6,49.3,110.7,349.3,447.1,219.1,215.3,107.3,38.8,1636.8,27.5,121.7,1126.2,361.4,57.4,850.0,30.0,0
Gujarat Region,1992,0.8,12.4,30.2,87.0,126.4,458.0,693.3,393.9,325.4,131.0,68.8,1.8,2329.1,13.2,243.6,1870.7,201.6,25.6,850.0,28.6,0
Gujarat Region,2023,7.6,28.5,8.0,84.8,182.6,196.3,649.7,400.2,212.1,253.9,64.6,12.2,2100.6,36.1,275.4,1458.4,330.7,45.8,30.0,35.4,1
Bihar,2011,0.0,15.1,33.2,36.1,149.0,367.9,643.6,353.3,201.5,326.1,49.0,23.4,2198.3,15.1,218.4,1566.4,398.5,36.2,80.0,36.2,1
Assam & Meghalaya,2009,20.2,41.4,64.6,51.0,249.7,691.8,807.0,472.2,409.5,206.3,41.1,25.7,3080.5,61.5,365.4,2380.5,273.1,12.0,250.0,36.4,1
Kerala,1983,7.0,31.0,54.9,137.6,250.7,727.6,1006.2,688.9,519.7,194.1,134.3,40.4,3792.5,38.1,443.2,2942.4,368.8,12.0,30.0,24.5,1
Coastal Karnataka,2000,18.7,27.9,28.5,114.3,225.0,444.0,782.7,773.1,273.4,284.1,96.6,45.7,3114.1,46.6,367.8,2273.3,426.4,12.2,500.0,34.3,1
Konkan & Goa,2024,3.0,29.8,32.3,72.2,271.2,552.1,749.6,658.1,400.9,209.1,115.7,19.2,3113.2,32.8,375.7,2360.8,344.0,18.4,500.0,25.7,1
Coastal Karnataka,1998,19.6,9.4,29.5,95.0,143.8,439.4,939.9,744.8,272.7,285.1,154.5,48.6,3182.2,29.1,268.2,2396.8,488.2,12.0,500.0,32.8,1
Konkan & Goa,1996,9.3,31.9,71.6,160.0,165.5,638.7,995.7,716.5,411.7,221.0,115.0,31.9,3568.9,41.1,397.1,2762.6,368.0,12.0,250.0,25.3,1
Odisha,2014,11.4,16.5,34.2,80.4,120.8,344.4,720.7,483.9,354.4,292.0,39.0,20.1,2517.6,27.9,235.4,1903.3,351.1,29.4,500.0,32.9,1
Assam & Meghalaya,1993,18.6,39.3,45.2,74.7,242.4,550.0,311.8,699.7,456.1,333.9,144.9,39.4,2956.0,57.9,362.3,2017.6,518.2,39.7,250.0,25.6,1
Rayalseema,2017,14.9,23.9,17.0,81.5,135.6,345.3,435.7,372.1,252.2,87.3,81.7,2.6,1849.9,38.8,234.1,1405.3,171.6,50.1,500.0,23.7,0
Sub-Himalayan West Bengal,2006,0.0,20.5,10.2,84.7,101.8,251.4,441.7,557.1,189.4,243.5,27.5,0.0,1927.6,20.5,196.6,1439.6,271.0,47.3,850.0,33.7,0
Odisha,2000,6.0,18.8,30.8,46.2,136.1,507.0,380.2,399.7,219.8,144.8,98.5,20.3,2008.2,24.8,213.1,1506.6,263.6,55.7,500.0,25.2,0
Rayalseema,1997,14.3,0.8,20.9,84.6,171.7,399.1,448.9,455.2,230.9,233.7,99.3,15.6,2175.1,15.2,277.2,1534.1,348.6,47.1,500.0,23.0,0
Sub-Himalayan West Bengal,1991,1.0,17.5,14.1,46.1,166.0,257.5,407.4,591.9,267.3,128.0,23.5,0.0,1920.3,18.5,226.2,1524.0,151.6,37.6,500.0,35.0,0
Kerala,2009,18.6,14.9,47.3,113.6,160.4,599.0,838.9,897.0,362.4,179.2,108.2,18.7,3358.3,33.6,321.3,2697.3,306.2,12.0,250.0,27.4,1
Gujarat Region,2003,13.0,9.6,32.9,86.4,132.0,212.8,636.8,422.0,149.1,129.1,74.7,17.0,1915.4,22.6,251.3,1420.6,220.9,36.3,80.0,36.7,1
Assam & Meghalaya,1982,18.5,28.1,51.6,75.7,285.9,578.2,973.3,725.6,263.5,186.6,96.8,22.2,3305.8,46.6,413.1,2540.6,305.5,12.0,15.0,28.9,1
Gujarat Region,2014,7.5,0.0,17.0,69.5,194.5,351.9,544.1,216.0,182.9,0.0,103.2,14.4,1701.2,7.5,281.1,1294.9,117.7,42.1,850.0,32.7,0
Sub-Himalayan West Bengal,1982,15.7,14.8,18.1,90.0,186.4,380.0,395.1,488.5,167.4,144.1,22.5,2.4,1924.9,30.5,294.5,1431.0,168.9,46.1,80.0,32.2,1
Kerala,2005,25.9,12.4,33.8,45.6,216.8,708.1,798.3,750.5,417.2,256.0,99.3,36.9,3400.8,38.3,296.2,2674.1,392.2,12.0,15.0,31.3,1
Gujarat Region,2020,11.5,7.5,28.3,67.3,175.6,238.5,740.2,274.1,237.8,135.5,117.8,20.5,2054.5,19.0,271.3,1490.5,273.8,29.7,500.0,34.1,1
Konkan & Goa,2018,11.6,20.0,68.5,118.7,169.2,304.0,706.9,789.1,480.8,264.2,133.2,25.1,3091.5,31.6,356.5,2280.9,422.5,12.2,80.0,32.7,1
Bihar,1980,5.7,14.5,27.1,39.4,177.2,395.7,614.5,306.8,437.9,127.0,57.6,18.2,2221.5,20.2,243.7,1754.9,202.8,29.8,80.0,32.5,1
Konkan & Goa,1996,14.7,7.2,20.2,76.3,254.7,779.0,889.6,641.1,327.1,231.6,68.9,18.0,3328.4,21.9,351.2,2636.8,318.5,12.0,850.0,28.0,1
Tamil Nadu,2014,8.1,17.0,38.5,29.2,112.6,462.2,570.2,487.1,333.5,197.1,32.1,11.7,2299.3,25.1,180.3,1853.1,240.9,35.4,30.0,33.5,1
Kerala,2000,13.1,5.3,53.5,31.6,353.0,529.2,849.9,773.1,366.7,207.1,24.2,13.3,3219.9,18.4,438.1,2518.9,244.5,12.0,500.0,28.3,1
Gangetic West Bengal,1993,3.9,13.0,57.6,38.8,117.1,337.1,567.8,407.0,325.9,263.0,66.7,4.5,2202.4,16.9,213.5,1637.9,334.2,39.1,15.0,23.6,1
Coastal Karnataka,2005,12.2,33.1,48.0,129.3,216.5,297.5,1076.2,886.2,254.4,312.2,68.2,24.6,3358.4,45.3,393.7,2514.3,405.0,12.0,80.0,33.4,1
Sub-Himalayan West Bengal,1981,18.4,10.5,18.4,86.5,184.7,411.3,467.7,276.0,219.3,159.2,61.6,24.6,1938.3,28.9,289.7,1374.3,245.4,55.1,15.0,32.7,1
Gujarat Region,2007,12.4,11.8,18.9,71.2,152.1,306.4,513.1,564.1,246.6,144.5,58.0,32.5,2131.5,24.2,242.1,1630.2,235.0,38.9,15.0,34.6,1
Assam & Meghalaya,1993,17.2,34.2,11.4,111.7,300.8,445.4,612.7,1082.5,402.7,200.4,112.0,36.9,3368.1,51.4,423.9,2543.3,349.4,12.0,850.0,28.4,1
Gangetic West Bengal,1997,5.5,12.8,30.3,45.1,172.8,449.3,559.7,430.1,279.9,133.1,47.6,21.6,2187.7,18.3,248.2,1719.0,202.3,42.2,80.0,35.2,1
Konkan & Goa,2024,15.5,13.0,54.7,29.6,238.0,536.9,872.4,599.8,312.6,208.9,118.6,33.3,3033.4,28.6,322.3,2321.7,360.9,12.0,80.0,34.1,1
Sub-Himalayan West Bengal,1981,16.4,23.2,16.0,84.5,145.0,323.8,520.1,360.9,216.3,188.6,7.2,18.3,1920.1,39.6,245.4,1421.0,214.1,48.9,80.0,25.5,1
Kerala,1984,2.8,30.3,20.8,83.6,291.1,515.8,768.6,835.6,301.5,183.6,122.5,26.1,3182.2,33.1,395.5,2421.5,332.2,12.0,80.0,32.1,1
Tamil Nadu,1995,19.3,11.2,38.5,54.4,221.9,524.8,696.8,634.9,180.1,115.8,85.4,35.1,2618.2,30.5,314.8,2036.6,236.3,30.0,250.0,34.5,1
Assam & Meghalaya,1997,18.9,31.3,43.9,72.3,257.6,680.7,691.2,626.4,313.3,254.6,92.0,29.8,3112.0,50.2,373.8,2311.6,376.4,25.2,850.0,34.8,1
Sub-Himalayan West Bengal,1990,13.2,21.4,12.1,72.0,75.4,420.8,532.4,351.7,439.8,194.4,98.9,24.8,2256.8,34.6,159.4,1744.7,318.0,34.3,850.0,23.6,0
Kerala,2005,16.5,8.1,45.7,73.2,210.9,537.7,798.1,799.4,440.1,233.5,80.1,5.8,3249.1,24.6,329.8,2575.3,319.4,18.1,15.0,34.0,1
Assam & Meghalaya,1987,23.7,22.1,64.9,139.0,247.3,519.4,698.7,590.1,353.8,167.4,83.0,30.0,2939.4,45.8,451.2,2162.0,280.5,21.9,80.0,31.2,1
Kerala,2000,21.9,33.5,52.2,49.3,315.2,552.7,887.1,806.6,519.9,249.7,91.8,34.1,3614.0,55.3,416.7,2766.4,375.6,12.0,250.0,28.1,1
Gujarat Region,2005,14.4,24.5,39.7,65.0,151.7,270.8,340.9,436.0,279.9,191.5,92.1,23.6,1930.1,38.9,256.4,1327.5,307.3,62.4,80.0,29.5,1
Tamil Nadu,1995,6.4,17.3,1.3,112.2,151.8,338.5,426.3,81.2,264.7,166.1,63.1,6.7,1635.6,23.7,265.3,1110.7,235.9,63.7,80.0,23.8,1
Odisha,1981,9.9,21.9,34.4,98.8,75.8,239.8,659.2,664.3,316.6,112.2,63.6,17.7,2314.2,31.8,209.0,1879.9,193.5,21.6,80.0,27.8,1
Bihar,1996,12.4,15.1,58.6,30.5,107.5,397.4,217.3,438.8,274.0,169.9,128.7,28.7,1878.8,27.5,196.6,1327.5,327.2,70.6,250.0,35.3,0
Tamil Nadu,1995,15.8,0.0,51.0,54.7,144.7,307.9,213.7,517.4,317.6,129.5,59.4,9.6,1821.4,15.8,250.4,1356.6,198.5,58.2,80.0,26.0,1
Tamil Nadu,2004,9.6,23.0,48.7,33.2,155.6,335.9,115.6,410.1,139.4,72.6,108.8,2.9,1455.3,32.6,237.4,1000.9,184.3,76.2,250.0,33.0,0
Assam & Meghalaya,2005,20.8,33.7,54.7,75.0,186.4,454.9,619.2,792.6,488.4,271.8,109.0,33.2,3139.5,54.5,316.1,2355.0,414.0,15.6,850.0,27.4,1
Kerala,2014,15.4,19.2,51.5,82.9,194.9,696.3,769.5,562.9,492.5,301.8,167.9,27.0,3381.9,34.6,329.4,2521.2,496.7,12.0,15.0,32.2,1
Assam & Meghalaya,2006,22.4,28.7,19.9,125.2,254.0,815.4,961.9,684.0,557.6,250.0,93.3,40.6,3853.2,51.1,399.1,3019.0,383.9,12.0,15.0,24.2,1
Tamil Nadu,1988,5.8,13.5,15.3,65.1,145.1,500.5,297.2,489.5,188.8,131.1,50.6,37.1,1939.6,19.3,225.5,1476.0,218.8,58.3,500.0,35.4,0
Bihar,2000,5.8,9.0,27.1,40.4,139.2,426.0,794.2,486.9,365.7,221.3,91.3,23.5,2630.5,14.7,206.8,2072.8,336.2,30.8,15.0,33.8,1
Coastal Karnataka,2000,9.8,19.7,38.2,141.4,309.4,334.9,870.5,606.7,233.9,234.3,95.3,29.9,2923.9,29.4,489.1,2045.9,359.5,13.9,850.0,24.3,1
Rayalseema,1981,16.8,12.6,40.2,11.8,178.9,156.3,395.2,582.2,331.4,310.0,103.9,24.5,2163.8,29.4,230.9,1465.0,438.5,45.7,250.0,30.9,1
Bihar,2023,14.4,14.1,26.6,73.7,93.1,417.3,504.9,427.2,178.3,109.2,27.4,0.3,1886.5,28.5,193.4,1527.7,136.9,48.5,850.0,27.5,0
Odisha,2002,13.3,35.6,18.9,101.1,116.2,360.5,718.0,434.3,280.7,150.1,68.2,26.0,2323.0,48.9,236.3,1793.5,244.3,27.2,15.0,26.5,1
Rayalseema,1985,12.6,22.0,39.6,75.3,128.2,268.4,638.4,456.8,366.2,213.0,116.4,14.4,2351.2,34.6,243.1,1729.8,343.7,43.2,30.0,24.6,1
Odisha,1999,5.8,9.1,55.2,74.2,105.3,357.3,542.7,379.1,169.9,73.2,49.3,0.9,1822.0,14.9,234.7,1448.9,123.4,52.3,500.0,32.1,0
Assam & Meghalaya,2010,12.7,30.9,53.6,79.8,299.2,530.3,652.0,520.4,383.6,212.4,120.5,22.9,2918.3,43.6,432.5,2086.3,355.8,25.7,30.0,23.2,1
Sub-Himalayan West Bengal,1997,1.4,12.5,5.2,34.9,146.2,345.0,276.4,97.5,381.6,237.7,62.0,14.8,1615.1,13.9,186.3,1100.5,314.4,63.0,250.0,32.2,0
East Uttar Pradesh,2021,6.6,23.5,15.8,55.8,315.0,399.3,523.2,342.4,232.6,144.1,110.5,30.1,2199.0,30.0,386.6,1497.6,284.7,48.0,80.0,34.7,1
Odisha,2024,12.7,10.2,30.8,41.6,182.1,292.5,488.8,445.5,325.3,166.4,51.4,22.6,2070.0,22.9,254.5,1552.1,240.4,44.9,500.0,31.7,1
Konkan & Goa,1998,11.0,31.2,52.4,88.9,183.3,422.0,816.2,666.6,422.0,212.8,61.9,21.4,2989.5,42.2,324.6,2326.8,296.0,18.6,500.0,29.2,1
Gujarat Region,1998,0.0,7.1,57.5,58.9,246.0,336.5,336.5,241.4,197.7,65.7,101.2,21.0,1669.5,7.1,362.4,1112.1,188.0,66.6,80.0,32.0,1
Gangetic West Bengal,2013,4.1,12.0,33.4,58.5,221.7,345.8,84.6,398.6,237.0,234.1,78.4,35.7,1743.8,16.1,313.6,1066.0,348.1,61.6,15.0,29.9,0
Sub-Himalayan West Bengal,2011,9.1,0.7,41.8,105.3,199.7,502.8,522.1,538.2,214.1,28.7,125.0,20.8,2308.3,9.8,346.8,1777.2,174.5,42.7,80.0,32.0,1
Kerala,2014,3.5,28.1,24.9,91.0,284.3,530.8,678.6,679.8,399.3,248.8,168.2,25.2,3162.4,31.6,400.1,2288.5,442.2,16.2,250.0,32.5,1
East Uttar Pradesh,2006,9.8,20.1,31.6,60.1,148.0,440.9,399.9,539.6,289.0,193.0,87.5,21.4,2240.7,29.9,239.6,1669.4,301.8,39.6,15.0,34.4,1
Konkan & Goa,2002,7.0,13.5,45.5,103.8,223.1,558.3,874.8,698.3,313.3,217.8,100.8,28.7,3184.9,20.6,372.5,2444.6,347.2,12.0,15.0,23.8,1
Kerala,2021,11.7,31.6,42.4,113.7,183.6,352.8,997.8,547.8,407.3,135.4,98.4,14.2,2936.8,43.2,339.8,2305.7,248.0,12.0,500.0,25.2,1
Odisha,2020,16.0,25.5,53.9,0.0,214.1,382.2,527.2,686.8,404.5,257.1,57.0,27.2,2651.5,41.5,268.0,2000.7,341.3,30.8,850.0,24.0,0
Gujarat Region,1996,5.3,15.6,14.5,31.3,166.1,328.0,616.3,363.3,314.3,228.0,46.8,25.4,2154.9,20.9,211.9,1621.8,300.2,36.5,850.0,34.7,0
Tamil Nadu,2007,1.0,21.6,93.7,60.6,217.4,382.3,299.5,576.8,336.9,149.0,61.7,0.0,2200.5,22.7,371.6,1595.4,210.7,50.9,500.0,30.6,0
Bihar,2019,12.8,19.7,20.6,44.7,120.8,371.2,852.6,557.3,217.1,187.6,122.4,14.4,2541.3,32.5,186.0,1998.2,324.4,22.7,850.0,23.3,1
Kerala,1981,15.2,48.7,34.6,85.7,274.4,672.4,828.7,639.5,409.4,224.9,124.9,14.6,3373.0,63.9,394.8,2550.0,364.3,12.0,15.0,26.0,0
Kerala,2007,15.0,26.0,69.4,56.0,343.3,366.6,1067.9,473.1,290.6,248.6,144.3,28.4,3129.2,41.0,468.7,2198.2,421.3,12.0,250.0,36.6,1
Coastal Karnataka,1994,4.5,27.2,79.0,81.9,175.2,544.5,503.5,697.1,398.3,245.8,133.0,44.9,2935.0,31.7,336.2,2143.4,423.7,32.5,250.0,26.4,1
Tamil Nadu,1982,1.9,9.7,52.1,63.1,146.0,358.0,560.0,229.5,195.8,100.1,80.9,14.3,1811.4,11.6,261.1,1343.3,195.3,41.9,80.0,35.3,1
Rayalseema,2004,0.0,6.7,35.4,28.7,132.2,392.5,466.4,593.7,318.3,139.5,86.8,3.8,2204.2,6.7,196.4,1770.9,230.2,44.1,30.0,33.5,1
Bihar,2018,12.0,10.8,18.9,63.8,199.3,437.3,310.9,427.2,205.1,153.6,114.3,14.0,1967.2,22.8,282.0,1380.5,281.9,57.4,850.0,32.8,0
Tamil Nadu,1988,19.1,13.4,5.8,24.3,147.1,377.8,434.3,671.5,388.2,78.7,110.6,8.9,2279.7,32.5,177.3,1871.8,198.2,32.0,15.0,30.1,1
Odisha,1992,2.0,17.3,16.4,48.7,245.4,285.9,542.8,238.9,168.8,189.1,85.7,22.4,1863.4,19.3,310.5,1236.5,297.1,54.0,30.0,24.9,1
Assam & Meghalaya,2010,17.4,32.0,36.7,100.9,102.0,697.1,659.5,622.7,357.4,230.9,135.4,5.8,2997.9,49.4,239.6,2336.8,372.1,19.2,15.0,29.4,1
Tamil Nadu,1999,5.6,21.8,37.8,59.3,162.7,409.1,331.0,497.8,379.9,83.2,82.4,39.6,2110.3,27.4,259.9,1617.8,205.2,48.3,250.0,27.0,0
Kerala,1990,10.4,33.7,49.7,101.6,246.1,430.5,1029.2,687.0,396.5,188.1,121.5,31.9,3326.0,44.0,397.3,2543.2,341.4,12.0,500.0,34.8,1
Sub-Himalayan West Bengal,2013,7.9,12.5,28.5,81.1,239.1,469.8,687.2,398.7,237.5,231.6,19.1,44.3,2457.4,20.5,348.7,1793.2,295.0,29.0,850.0,30.1,0
Bihar,1992,11.1,9.5,2.6,76.2,214.9,505.3,579.1,428.8,360.4,155.1,126.8,28.6,2498.6,20.6,293.8,1873.7,310.6,37.4,500.0,26.6,1
Gangetic West Bengal,2010,8.9,17.3,15.1,59.3,190.5,193.3,712.2,567.4,229.0,77.3,65.2,8.5,2144.0,26.2,264.9,1702.0,151.0,32.2,15.0,33.0,1
East Uttar Pradesh,1997,11.9,25.5,13.1,53.9,141.8,271.2,202.7,363.9,191.2,73.8,86.4,17.1,1452.6,37.5,208.8,1029.0,177.3,66.0,15.0,26.7,1
Assam & Meghalaya,2022,4.9,28.8,34.8,84.7,140.5,616.0,679.1,548.5,468.5,228.9,100.2,24.0,2958.6,33.7,260.0,2312.0,353.0,21.4,250.0,25.2,1
Gujarat Region,1989,10.1,6.0,43.8,75.9,136.3,278.0,811.9,367.9,370.2,212.6,61.3,2.6,2376.6,16.0,256.0,1828.0,276.5,27.0,80.0,23.1,1
East Uttar Pradesh,2011,3.9,14.2,67.9,31.8,167.6,450.5,924.2,533.5,127.7,147.8,64.1,35.1,2568.4,18.0,267.3,2035.9,247.1,14.3,850.0,34.0,1
Gangetic West Bengal,2023,8.6,13.3,68.3,44.7,149.4,454.0,718.0,544.9,106.8,127.9,104.7,26.2,2366.6,21.8,262.4,1823.7,258.7,21.6,250.0,28.8,1
